2024-06-08 23:58:30,218 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:33,306 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:36,465 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-08 23:58:39,282 [kappa.csail.mit.edu:1131186] [INFO] {'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:09,132 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6188037717342376, 'iter_time': 0.4999206972122192, 'epoch': 0, 'trainer_step': 700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:12,577 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6090339440107345, 'iter_time': 0.49850654482841494, 'epoch': 0, 'trainer_step': 800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:16,018 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6092023909091949, 'iter_time': 0.4999457994103432, 'epoch': 0, 'trainer_step': 900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:19,459 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6171962404251099, 'iter_time': 0.5010833975672722, 'epoch': 0, 'trainer_step': 1000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:06:22,901 [kappa.csail.mit.edu:1137538] [INFO] {'iter_loss': 0.6008425062894821, 'iter_time': 0.4973033499717712, 'epoch': 0, 'trainer_step': 1100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:20,013 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.8014170438051224, 'iter_time': 0.49908079832792285, 'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:26,278 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6526979285478592, 'iter_time': 0.5023790189623832, 'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:32,538 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6408446300029754, 'iter_time': 0.4987215307354927, 'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:38,815 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6290175670385361, 'iter_time': 0.5025593739748001, 'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:45,077 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6141992592811585, 'iter_time': 0.49882801532745363, 'epoch': 0, 'trainer_step': 500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:51,371 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6129687604308128, 'iter_time': 0.4985424703359604, 'epoch': 0, 'trainer_step': 600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:12:57,670 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6099421936273575, 'iter_time': 0.5011671209335327, 'epoch': 0, 'trainer_step': 700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:13:03,887 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.5979003262519836, 'iter_time': 0.4961210730671883, 'epoch': 0, 'trainer_step': 800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:13:10,035 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.6003980877995491, 'iter_time': 0.5026611205935478, 'epoch': 0, 'trainer_step': 900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:13:16,181 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.5943443682789803, 'iter_time': 0.4978565984964371, 'epoch': 0, 'trainer_step': 1000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:13:22,330 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.5968429309129715, 'iter_time': 0.5016566041111946, 'epoch': 0, 'trainer_step': 1100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:13:28,478 [kappa.csail.mit.edu:1140232] [INFO] {'iter_loss': 0.5986669725179672, 'iter_time': 0.4986351153254509, 'epoch': 0, 'trainer_step': 1200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:06,313 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.7867390149831772, 'iter_time': 0.5014460808038712, 'epoch': 0, 'trainer_step': 100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:12,509 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6451390036940574, 'iter_time': 0.4988284781575203, 'epoch': 0, 'trainer_step': 200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:18,719 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6398990839719773, 'iter_time': 0.5023586970567703, 'epoch': 0, 'trainer_step': 300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:24,927 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6242369252443314, 'iter_time': 0.49934610247612, 'epoch': 0, 'trainer_step': 400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:31,134 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6111435824632645, 'iter_time': 0.49646262884140013, 'epoch': 0, 'trainer_step': 500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:37,351 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6119005113840104, 'iter_time': 0.5002404153347015, 'epoch': 0, 'trainer_step': 600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:43,565 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6091040042042732, 'iter_time': 0.5010981398820877, 'epoch': 0, 'trainer_step': 700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:49,763 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6052690479159355, 'iter_time': 0.4996840924024582, 'epoch': 0, 'trainer_step': 800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:17:55,956 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.6031395620107651, 'iter_time': 0.5011066764593124, 'epoch': 0, 'trainer_step': 900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:02,164 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5956519791483879, 'iter_time': 0.4973418545722961, 'epoch': 0, 'trainer_step': 1000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:08,363 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5862707465887069, 'iter_time': 0.495550571680069, 'epoch': 0, 'trainer_step': 1100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:14,561 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.598158528804779, 'iter_time': 0.49974067717790605, 'epoch': 0, 'trainer_step': 1200, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:20,756 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5898146283626556, 'iter_time': 0.49858916401863096, 'epoch': 0, 'trainer_step': 1300, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:26,953 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5871034216880798, 'iter_time': 0.4981014040112495, 'epoch': 0, 'trainer_step': 1400, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:33,147 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5936201119422913, 'iter_time': 0.5013081842660904, 'epoch': 0, 'trainer_step': 1500, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:39,345 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.593948271870613, 'iter_time': 0.5023682528734207, 'epoch': 0, 'trainer_step': 1600, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:45,549 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5965263333916664, 'iter_time': 0.5045742341876029, 'epoch': 0, 'trainer_step': 1700, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:51,751 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5881452071666717, 'iter_time': 0.5037616187334061, 'epoch': 0, 'trainer_step': 1800, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:18:57,948 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5820284965634346, 'iter_time': 0.4974051719903946, 'epoch': 0, 'trainer_step': 1900, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:04,148 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.581405448615551, 'iter_time': 0.49933247148990634, 'epoch': 0, 'trainer_step': 2000, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
2024-06-09 00:19:10,345 [kappa.csail.mit.edu:1142172] [INFO] {'iter_loss': 0.5850399106740951, 'iter_time': 0.5005381602048874, 'epoch': 0, 'trainer_step': 2100, 'iter_step': 0, 'iter_count': 100, 'lr': 0.0001}
